Date,Distance (Km),Pace (Hours:minutes:seconds)
1/3/2026,10,1:01:13
2/3/2026,5,0:29:29
4/3/2026,5,0:28:25
5/3/2026,5,0:30:18
7/3/2026,10,1:00:35
8/3/2026,10,0:58:19
11/3/2026,5.02,0:29:23
12/3/2026,5,0:29:06
13/3/2026,5.01,0:28:38
14/3/2026,15,1:33:34
15/3/2026,5,0:29:30
16/3/2026,5.01,0:29:18
18/3/2026,5.01,0:29:13
19/3/2026,5.01,0:28:20
20/3/2026,5.01,0:28:07
21/3/2026,5,0:27:58
23/3/2026,5.01,0:29:09
24/3/2026,5,0:29:04
26/3/2026,5,0:28:25
27/3/2026,5,0:27:37
28/3/2026,5,0:28:02
29/3/2026,5,0:28:30
31/3/2026,5.01,0:29:43
